#{"t_start": 1683234452.6671677, "env_id": "Snake-v0"}
r,l,t
-57.393259,188,0.226416
9707.32312,953,1.534458
8697.113729,932,19.188922
854.671297,379,19.547477
6724.605458,868,20.414372
6848.030248,444,20.848674
2881.454248,358,37.768177
1928.912182,221,37.971732
884.422956,295,38.25004
-1061.925435,170,38.410283
20366.671973,1896,55.032528
841.896638,568,55.592598
6830.444242,612,56.338084
4881.985227,348,71.249161
4874.812061,480,71.708084
15128.782972,2620,89.424384
3752.114584,655,90.061313
7757.103718,768,105.812359
926.799606,168,105.978728
9320.253198,2201,123.362135
24354.58162,2170,140.636995
8773.969335,644,141.264225
13637.034439,1091,159.603138
1833.571837,468,160.141808
10536.519013,1351,179.223647
4784.533639,496,179.86315
9669.662228,1008,181.051613
2887.709937,398,197.977419
-1065.892819,173,198.183966
-9.142621,55,198.244833
1961.123543,180,198.44318
987.164723,90,198.541953
12595.157244,1284,200.016669
3841.515431,549,217.791797
3870.731822,436,218.402455
7529.047387,1557,237.385842
7836.73006,547,238.094042
-18.719746,58,238.168261
986.553244,82,238.264983
5762.578488,821,239.12536
5878.594487,430,255.218405
939.747122,203,255.432265
6825.686983,402,256.021258
2863.531693,319,256.388842
5930.849759,340,256.748176
946.388374,168,256.91497
22336.947852,1892,276.05674
6768.587886,704,291.428357
11269.676959,1856,307.959455
515.873074,1330,309.257149
8729.078436,675,324.54004
3778.16115,643,325.158212
13500.155932,1599,341.235448
6746.56,657,341.911703
-19.712772,53,341.965295
-18.012985,81,342.041591
-13.830393,57,342.096127
6639.492863,1027,357.530007
6739.90018,726,358.235549
1948.701702,200,358.434107
1864.446158,503,358.945562
9497.108479,1425,374.779714
-1020.757906,82,374.856588
8844.74007,613,375.620669
4905.81872,311,375.960077
9711.871815,763,394.009025
934.957249,125,394.1274
10572.192779,1245,395.783122
1752.993833,745,413.843891
2953.32465,193,414.022297
4849.789472,374,414.382294
5904.56926,361,414.72721
9715.283691,933,430.977601
-15.07116,55,431.06564
4760.558705,675,431.730689
1861.201968,390,432.111788
3946.865385,214,432.316786
1937.196264,185,432.49127
962.997053,119,447.389749
12696.919898,1004,448.360934
4861.826621,548,448.994939
-1034.319419,77,449.068299
19392.151162,1867,465.13155
6802.802006,542,465.585988
4901.667932,281,478.899173
-29.662739,110,478.997003
18416.858968,1816,493.481647
11756.462413,828,494.224521
-1024.235856,76,494.28843
4880.650556,403,494.66834
2903.654995,279,494.901138
2884.035565,350,507.867318
15599.562441,1342,509.028264
-2.865406,17,509.042048
3941.372612,232,509.238729
7807.589233,649,522.834339
2896.041552,369,523.138831
973.204817,123,523.244478
19572.600022,1293,524.35844
-1022.711283,68,536.973616
2864.769676,318,537.250171
1310.199695,1810,552.394871
-32.006496,102,552.519956
3929.414103,251,552.758628
6776.83839,640,553.432795
5829.239266,656,554.382394
-84.295839,213,554.617412
13703.55117,1011,571.643807
5756.38836,634,572.26195
-1005.951275,28,572.292688
2883.870331,409,572.686791
6713.427142,754,589.35883
2879.72591,423,589.926217
979.279365,96,590.139918
-1009.339966,42,590.196763
